collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
4037474,106237,2132,Cincinnati,American Athletic,Indianapolis,2022,216,6,38,Curtis Brooks,Defensive Tackle,,,328.0,21.0,35.0
4240608,106087,2296,Jackson State,SWAC,Detroit,2022,217,6,39,James Houston,Outside Linebacker,72.0,244.0,284.0,15.0,41.0
4034779,106253,135,Minnesota,Big Ten,Tampa Bay,2022,218,6,40,Ko Kieft,Tight End,77.0,265.0,,,
4372051,106099,145,Ole Miss,SEC,Tennessee,2022,219,6,41,Chance Campbell,Inside Linebacker,74.0,232.0,303.0,25.0,38.0
4243541,106103,2116,UCF,American Athletic,San Francisco,2022,220,6,42,Kalia Davis,Defensive Tackle,73.0,302.0,244.0,17.0,47.0
4259590,105735,213,Penn State,Big Ten,San Francisco,2022,221,6,43,Tariq Castro-Fields,Cornerback,73.0,197.0,153.0,19.0,60.0
4242149,106111,8,Arkansas,SEC,Jacksonville,2022,222,7,1,Montaric Brown,Cornerback,72.0,196.0,315.0,41.0,36.0
4241404,106033,201,Oklahoma,Big 12,Cleveland,2022,223,7,2,Isaiah Thomas,Defensive End,77.0,266.0,191.0,17.0,56.0
4035857,106254,25,California,Pac-12,Miami,2022,224,7,3,Cameron Goode,Outside Linebacker,76.0,240.0,,,
4249342,106255,145,Ole Miss,SEC,Pittsburgh,2022,225,7,4,Mark Robinson,Outside Linebacker,71.0,235.0,,,
4369950,105765,2582,Southern,SWAC,Chicago,2022,226,7,5,Ja'Tyre Carter,Offensive Guard,75.0,311.0,245.0,20.0,47.0
4249624,106256,2579,South Carolina,SEC,Minnesota,2022,227,7,6,Nick Muse,Tight End,77.0,249.0,,,
4240486,106049,59,Georgia Tech,ACC,Green Bay,2022,228,7,7,Tariq Carpenter,Inside Linebacker,,,226.0,22.0,49.0
4259305,105932,164,Rutgers,Big Ten,Seattle,2022,229,7,8,Bo Melton,Wide Receiver,71.0,189.0,137.0,20.0,64.0
4244615,105891,202,Tulsa,American Athletic,Washington,2022,230,7,9,Chris Paul,Offensive Guard,76.0,323.0,188.0,15.0,56.0
4239997,106136,228,Clemson,ACC,Buffalo,2022,231,7,10,Baylon Spector,Inside Linebacker,73.0,233.0,355.0,31.0,31.0
4242333,106257,275,Wisconsin,Big Ten,Denver,2022,232,7,11,Faion Hicks,Cornerback,70.0,192.0,,,
4401805,106240,2331,Lenoir-Rhyne,South Atlantic,Seattle,2022,233,7,12,Dareke Young,Wide Receiver,,,335.0,39.0,34.0
4259762,106115,2390,Miami,ACC,Green Bay,2022,234,7,13,Jonathan Ford,Defensive Tackle,77.0,333.0,330.0,22.0,34.0
4365629,106258,147,Montana State,Big Sky,Los Angeles,2022,235,7,14,Daniel Hardy,Outside Linebacker,75.0,223.0,,,
4690171,106259,145,Ole Miss,SEC,Los Angeles,2022,236,7,15,Deane Leonard,Cornerback,72.0,195.0,,,
4047846,105612,9,Arizona State,Pac-12,Detroit,2022,237,7,16,Chase Lucas,Cornerback,71.0,180.0,239.0,30.0,47.0
4242001,105602,194,Ohio State,Big Ten,Las Vegas,2022,238,7,17,Thayer Munford,Offensive Tackle,78.0,328.0,152.0,16.0,61.0
4394516,106260,43,Yale,Ivy,Indianapolis,2022,239,7,18,Rodney Thomas II,Safety,74.0,200.0,,,
4035105,106261,197,Oklahoma State,Big 12,Washington,2022,240,7,19,Christian Holmes,Cornerback,73.0,205.0,,,
4044111,106262,2571,South Dakota State,MVFC,Pittsburgh,2022,241,7,20,Chris Oladokun,Quarterback,74.0,195.0,,,
4373017,105953,239,Baylor,Big 12,Carolina,2022,242,7,21,Kalon Barnes,Cornerback,72.0,183.0,172.0,21.0,58.0
4697639,105923,265,Washington State,Pac-12,Kansas City,2022,243,7,22,Jaylen Watson,Cornerback,74.0,197.0,231.0,29.0,48.0
4911023,106263,2673,Valdosta State,Gulf South,Arizona,2022,244,7,23,Christian Matthew,Cornerback,76.0,200.0,,,
4258207,105901,130,Michigan,Big Ten,New England,2022,245,7,24,Andrew Stueber,Offensive Guard,79.0,325.0,196.0,16.0,55.0
4241848,105650,2641,Texas Tech,Big 12,Cleveland,2022,246,7,25,Dawson Deaton,Center,78.0,306.0,248.0,6.0,46.0
4036419,105946,2306,Kansas State,Big 12,Miami,2022,247,7,26,Skylar Thompson,Quarterback,74.0,217.0,235.0,8.0,48.0
4035453,106265,99,LSU,SEC,Tampa Bay,2022,248,7,27,Andre Anthony,Defensive End,76.0,251.0,,,
4361429,106104,213,Penn State,Big Ten,Green Bay,2022,249,7,28,Rasheed Walker,Offensive Tackle,78.0,313.0,119.0,11.0,69.0
4036032,106266,26,UCLA,Pac-12,Las Vegas,2022,250,7,29,Brittain Brown,Running Back,73.0,205.0,,,
4361529,105996,164,Rutgers,Big Ten,Kansas City,2022,251,7,30,Isaih Pacheco,Running Back,70.0,216.0,299.0,27.0,39.0
4241089,106030,324,Coastal Carolina,Sun Belt,Cincinnati,2022,252,7,31,Jeffrey Gunter,Defensive End,76.0,258.0,198.0,18.0,55.0
4240071,106267,2306,Kansas State,Big 12,Los Angeles,2022,253,7,32,Russ Yeast,Safety,70.0,195.0,,,
4242402,106268,25,California,Pac-12,Chicago,2022,254,7,33,Elijah Hicks,Safety,71.0,200.0,,,
4240128,106269,152,NC State,ACC,Chicago,2022,255,7,34,Trenton Gill,Punter,76.0,219.0,,,
4361419,105682,213,Penn State,Big Ten,Arizona,2022,256,7,35,Jesse Luketa,Outside Linebacker,75.0,253.0,167.0,11.0,59.0
4241382,105942,201,Oklahoma,Big 12,Arizona,2022,257,7,36,Marquis Hayes,Offensive Guard,77.0,318.0,139.0,10.0,64.0
4027873,106270,158,Nebraska,Big Ten,Green Bay,2022,258,7,37,Samori Toure,Wide Receiver,75.0,190.0,,,
4043625,106271,276,Marshall,Conference USA,Kansas City,2022,259,7,38,Nazeeh Johnson,Safety,74.0,189.0,,,
4260406,106272,2509,Purdue,Big Ten,Los Angeles,2022,260,7,39,Zander Horvath,Fullback,75.0,230.0,,,
4046707,106273,127,Michigan State,Big Ten,Los Angeles,2022,261,7,40,AJ Arcuri,Offensive Tackle,79.0,320.0,,,
4361741,105721,66,Iowa State,Big 12,San Francisco,2022,262,7,41,Brock Purdy,Quarterback,73.0,212.0,361.0,14.0,31.0
