title,description,date
OSU HIRES JOE PHILBIN AS OFFENSIVE ANALYST,Former Miami Dolphins head coach and Green Bay Packers offensive coordinator Joe Philbin has joined the Ohio State staff as an offensive analyst.,"23 May 2023
by Griffin Strom
93 COMMENTS"
TOP FIVE THROWS OF THE DECADE,"Ohio State’s past decade has been full of stellar quarterback play, so we took a look back at the five most impressive passes in the last 10 years of Buckeye football.","23 May 2023
by Jacob Rhee
55 COMMENTS"
MICHIGAN FAVORED BY 2.5 IN THE GAME,DraftKings Sportsbook lists Ohio State as a 2.5-point underdog against Michigan in The Game and as a 10-point favorite against Wisconsin.,"23 May 2023
by Josh Poloha
69 COMMENTS"
KENYATTA CARRYING MOMENTUM INTO SUMMER,"After a quiet freshman season, Kenyatta Jackson made noise all spring to put himself atop the list of young DEs who look ready for a major step up in playing time in 2023.","22 May 2023
by Griffin Strom
15 COMMENTS"
"MICKENS BRINGS HIGH UPSIDE, ASPIRATIONS",Joshua Mickens believes the Jack position would be “the perfect fit” for his skill set and his high school coach believes Mickens has the ability to develop into a first-round...,"22 May 2023
by Dan Hope
12 COMMENTS"
OSU A FOUR-TOUCHDOWN FAVORITE OVER IU,DraftKings Sportsbook lists Ohio State as a 28-point favorite over Indiana to begin the 2023 season.,"22 May 2023
by Josh Poloha
41 COMMENTS"
MIDDLE MANAGEMENT,"After earning first team All-American and All-B1G honors a year ago, Tommy Eichenberg's return for one more season gives Ohio State's defense the anchor it needs to be great.","21 May 2023
by Chris Lauderback
44 COMMENTS"
ANTWI STAYING FOCUSED ON DEVELOPMENT,Kojo Antwi is keeping his sights set on continuing to improve and taking coaching from Brian Hartline as he waits his turn in the Buckeyes’ loaded wide receiver room.,"21 May 2023
by Dan Hope
13 COMMENTS"
"SETBACK MADE HANCOCK “LEARN TO GROW""","Finally healthy after an injury-riddled 2022 season, Jordan Hancock excelled at CB all spring. But he’ll still have to hold off Davison Igbinosun to secure a starting job in...","20 May 2023
by Griffin Strom
12 COMMENTS"
SINGLE-GAME TICKETS ON SALE IN JUNE,Ohio State will begin selling “Pick 3” mini-plans for the 2023 season on June 7 and single-game tickets for its six home games on June 16.,"19 May 2023
by Dan Hope
13 COMMENTS"
WHERE OSU TRANSFERS WILL PLAY IN 2023,"Kentucky, Texas and Florida are among the schools with multiple former Buckeyes on their roster as 38 Ohio State transfers are set to play for other college football teams in 2023.","19 May 2023
by Dan Hope
51 COMMENTS"
OSU'S UNRESOLVED POSITION BATTLES,"Quarterback, right tackle and Ohio State's second starting cornerback job are among the Buckeyes' unresolved position battles entering the summer.","19 May 2023
by Griffin Strom
21 COMMENTS"
