title,description,date
PENN STATE ROUNDTABLE,"In advance of Ohio State's high-noon matchup against Penn State on the road in Happy Valley, we welcome Griffin Strom, Kyle Jones and Johnny Ginter to the 11W Roundtable.","28 Oct 2022
by Chris Lauderback
60 COMMENTS"
PENN STATE GAME TRAILER,The Buckeyes will take another step toward greatness on Saturday.,"27 Oct 2022
by 11W Staff
31 COMMENTS"
PENN STATE Q&A WITH BEN JONES,"Ben Jones, who covers Penn State for StateCollege.com, says the Nittany Lions have enough talented players to compete for a victory but views a win over Ohio State as unlikely.","27 Oct 2022
by Dan Hope
64 COMMENTS"
"DAY TALKS PENN STATE, RANSOM, STROUD","As Ohio State approaches its battle with No. 13 Penn State in Happy Valley on Saturday, Ryan Day took to the airwaves to preview his team's matchup with the Nittany Lions.","27 Oct 2022
by Chase Brown and Griffin Strom
24 COMMENTS"
THE ANATOMY OF AN INT,"Tommy Eichenberg's pick-six came thanks to the efforts of many on the OSU defense, including the play-caller.","27 Oct 2022
by Kyle Jones
34 COMMENTS"
OSU FACES MOST TALENTED SECONDARY SO FAR,"C.J. Stroud calls Penn State cornerback Joey Porter Jr. “the best DB in college football,” and he's one of several standout defensive backs in the Nittany Lion secondary.","27 Oct 2022
by Griffin Strom
81 COMMENTS"
RANSOM “WAY MORE COMFORTABLE” IN NEW ROLE,"Now playing the safety position he was recruited to play, Lathan Ransom is showing how good he can be in his third year at Ohio State.","27 Oct 2022
by Dan Hope
26 COMMENTS"
BUCKEYES DISCUSS PENN STATE MATCHUP,"C.J. Stroud, Donovan Jackson, Cade Stover and other Ohio State players met with reporters Wednesday to preview the upcoming Penn State matchup.","26 Oct 2022
by Garrick Hodge
28 COMMENTS"
PENN STATE,"After rushing for a season-low 66 yards versus Iowa, Ryan Day discussed a desire to regain better run/pass balance moving forward.","26 Oct 2022
by Chris Lauderback
25 COMMENTS"
EICHENBERG WINS PLAYER OF THE WEEK AWARD,"Ohio State linebacker Tommy Eichenberg is the Lott IMPACT Trophy Player of the Week after he recorded a pick-six, seven tackles, a tackle for loss and a pass breakup against Iowa.","26 Oct 2022
by Dan Hope
16 COMMENTS"
PENN STATE GAME POSTER,"There will be no tricks, only treats for Ohio State in Happy Valley this weekend.","26 Oct 2022
by 11W Staff
19 COMMENTS"
ADULT ENTERTAINMENT,Ohio State and Penn State haven't kicked off at noon in State College since 2001.,"26 Oct 2022
by Ramzy Nasrallah
75 COMMENTS"
OHIO STATE'S 2023 B1G SCHEDULE ANNOUNCED,The Big Ten announced its conference schedules for the 2023 season on Wednesday.,"26 Oct 2022
by Chase Brown
137 COMMENTS"
"IOWA TAKEAWAYS, PENN STATE PREVIEW","We discuss Ohio State’s defensive dominance against Iowa and what challenges Penn State will present, plus draft head-to-head lineups from the Buckeye men’s basketball team.","26 Oct 2022
by Dan Hope and Griffin Strom
4 COMMENTS"
RUGGLES AN UNDERRATED STAR FOR BUCKEYES,Ohio State kicker Noah Ruggles is a big reason why the Buckeyes are scoring 49.6 points per game and have scored every time they’ve been in the red zone this season.,"26 Oct 2022
by Josh Poloha
12 COMMENTS"
RENEWED CONCERNS WITH THE RUN GAME,Ohio State's ability to run the ball consistently against top-end defenses has come into question after a historically poor performance on the ground against Iowa.,"26 Oct 2022
by Griffin Strom
176 COMMENTS"
"CAFFEY OUT FOR YEAR, TRAYANUM MOVING TO RB",Chip Trayanum will remain at running back for Ohio State after walk-on TC Caffey was ruled out for the year with a “long-term issue.”,"25 Oct 2022
by Chase Brown
54 COMMENTS"
“THE PLAN” IS FOR JSN TO PLAY,Ryan Day says Jaxon Smith-Njigba wanted to return to action against Iowa after exhausting his pitch count in the first half and that JSN is expected to be available at Penn State.,"25 Oct 2022
by Griffin Strom
79 COMMENTS"
COWBOYS ADD TWO BUCKEYES,The Dallas Cowboys traded two late-round draft picks to the Las Vegas Raiders for Johnathan Hankins and signed Kendall Sheffield to their practice squad.,"25 Oct 2022
by Dan Hope
11 COMMENTS"
"DAY TALKS PSU, JSN, CHIP AT RB","Ryan Day previews Penn State, says Jaxon Smith-Njigba is expected to be available and that Chip Trayanum moved to RB due to a season-ending injury to TC Caffey.","25 Oct 2022
by Griffin Strom
94 COMMENTS"
"FIELDS, MCLAURIN, HARRISON SHINE IN WEEK 7","Justin Fields, Terry McLaurin, Malik Harrison, Ezekiel Elliott and Jeff Okudah were among a bunch of former Ohio State players who had big games in Week 7 of the NFL season.","25 Oct 2022
by Dan Hope
18 COMMENTS"
"HARRISON, RUN GAME, EWERS","Zach Harrison, Tanner McCalister and Tommy Eichenberg show out against Iowa, Ohio State struggles on the ground and Quinn Ewers has his worst performance to date.","25 Oct 2022
by Griffin Strom
80 COMMENTS"
MICHIGAN VS. OHIO STATE VS. IOWA,"At this point in the season, Michigan and Ohio State share one common opponent, who was never equipped to challenge or beat either of them. Let's dive in, sort of.","24 Oct 2022
by Johnny Ginter
102 COMMENTS"
"DAY TALKS CHALLENGES VS. IOWA, PSU MATCHUP","Ryan Day says ""it took us a few drives"" to recognize what Iowa was doing to hamper the OSU offense on Saturday and says ""we all know how difficult it is"" to play at PSU.","24 Oct 2022
by Griffin Strom
25 COMMENTS"
RANSOM NAMED JIM THORPE AWARD SEMIFINALIST,"After recovering from a broken leg in January, Lathan Ransom has shined for Ohio State this season. On Monday, he was named a Jim Thorpe Award semifinalist for his efforts.","24 Oct 2022
by Chase Brown
34 COMMENTS"
RUGGLES EARNS B1G SPECIAL TEAMS POTW,Noah Ruggles earned Big Ten special teams player of the week honors after connecting on all four of his field goal attempts against Iowa on Saturday.,"24 Oct 2022
by Chase Brown
15 COMMENTS"
NORTHWESTERN AT NOON,Ohio State’s Nov. 5 game at Northwestern will kick off at noon and will be televised on ABC.,"24 Oct 2022
by Dan Hope
68 COMMENTS"
FIVE THINGS TO KNOW ABOUT PENN STATE,"Penn State will be the only currently-ranked opponent OSU has played so far, but got blown out in its only matchup with a top-25 opponent and has lost five straight to the Bucks.","24 Oct 2022
by Griffin Strom
118 COMMENTS"
IOWA,"28 players on offense, 24 players on defense and five specialists were among a total of 60 Buckeyes who saw action in Ohio State’s 54-10 win over Iowa.","24 Oct 2022
by Dan Hope
33 COMMENTS"
IOWA PLAYERS OF THE GAME,"C.J. Stroud completed 20 of 30 passes for 286 yards and four TDs, and Zach Harrison collected one sack, two TFLs, a forced fumble and deflected a pass against Iowa.","23 Oct 2022
by 11W Staff
31 COMMENTS"
IOWA,"Caden Curry snuffs out Iowa’s trickery, Kye Stokes forces a fumble and Kaleb Brown records his first catch as 10 true freshmen play in Ohio State's 44-point victory.","23 Oct 2022
by Matt Gutridge
19 COMMENTS"
BUCKS FAVORED BY 15 OVER PENN STATE,Ohio State opened as a 15-point favorite over Penn State as the two prepare for battle next Saturday at noon in Happy Valley. The over/under was set at 61.5 points.,"23 Oct 2022
by 11W Staff
158 COMMENTS"
BUCKS REMAIN AT NO. 2 IN BOTH POLLS,"Ryan Day's squad stayed at No. 2 in the AP and Coaches Polls, behind Georgia, after throttling Iowa, 54-10, yesterday in the Shoe.","23 Oct 2022
by 11W Staff
139 COMMENTS"
IOWA,"Despite a slow offensive start, Ohio State's 54 points were the most against a Kirk Ferentz-led Iowa team and Jim Knowles' defense dominated an embarrassing Iowa attack.","23 Oct 2022
by Chris Lauderback
91 COMMENTS"
THREE KEY STATS,"Iowa's offense lived up to its billing, but Ohio State had little problem lighting up the vaunted Hawkeye defense, winning 54-10. Here are three key stats from the game.","23 Oct 2022
by 11W Staff
39 COMMENTS"
IOWA,Iowa turned the ball over six times and the Buckeyes scored more points against the Hawkeyes than anyone in the Kirk Ferentz era.,"23 Oct 2022
by Andy Vance
35 COMMENTS"
“TANNER'S LIKE A SON TO ME”,"OSU had some rust to shake off, Tanner McCalister is ""like a son"" to Jim Knowles and Ryan Day thought ""we ain't getting Zach (Harrison)"" at one point in his recruitment.","23 Oct 2022
by Griffin Strom
20 COMMENTS"
"REVENGE, FINALLY","It took five years, but Ohio State finally got revenge for the worst loss of the Urban Meyer era. No, not that one. Or that one. The one against Iowa.","23 Oct 2022
by Johnny Ginter
20 COMMENTS"
ANOTHER BIG GAME FOR HARRISON,"Zach Harrison makes four drive-ending plays, Bradley Robinson and Jayden Ballard suffer injuries, Jordan Hancock makes his season debut and Chip Trayanum plays running back.","22 Oct 2022
by Dan Hope
27 COMMENTS"
BIG PLAYS ON D DOOM DREADFUL IOWA OFFENSE,The OSU defense had its most turnovers in six years and its most sacks of the season in a near-perfect performance highlighted by one big play after the next.,"22 Oct 2022
by Griffin Strom
38 COMMENTS"
DOMINANCE DESPITE SOME OFFENSIVE STRUGGLES,Ohio State scored only one touchdown on its first 10 possessions against Iowa yet still scored only five fewer points than the Hawkeyes had allowed all season.,"22 Oct 2022
by Dan Hope
104 COMMENTS"
"KIRK FERENTZ, IOWA OFFENSE UNDER FIRE",Kirk Ferentz credited Ohio State while lamenting Iowa's performance in a 54-10 Buckeye blowout as questions abound about his son's struggling offense.,"22 Oct 2022
by 11W Staff
47 COMMENTS"
PHOTOS FROM OHIO STATE'S 54-10 WIN,Ohio State dominated one of the top-ranked defenses in the country in Iowa on Saturday and we've got more than 160 photos of the action.,"22 Oct 2022
by Garrick Hodge
1 COMMENT"
JSN'S “PITCH COUNT” CAUSED IOWA EXIT,"Jaxon Smith-Njigba left the Iowa game after appearing to tweak his leg on a downfield route. Still, Ryan Day said the star receiver only exited the contest because of a pitch...","22 Oct 2022
by Chase Brown and Griffin Strom
199 COMMENTS"
"DAY, KNOWLES, STROUD TALK IOWA WIN","Ryan Day and C.J. Stroud discuss overcoming early offensive struggles against Iowa and Jim Knowles says ""we expect these good things to happen"" on defense.","22 Oct 2022
by Griffin Strom
48 COMMENTS"
"BUCKEYES CRUSH HAWKEYES, 54-10",Ohio State scores the most ever points allowed by a Kirk Ferentz-led Iowa team as its defense forces six turnovers and allows zero touchdowns in a 54-10 win over the Hawkeyes.,"22 Oct 2022
by Dan Hope
197 COMMENTS"
ROBINSON OUT WITH KNEE INJURY,Veteran long snapper Bradley Robinson leaves the game in the third quarter with what appears to be a serious knee injury.,"22 Oct 2022
by Griffin Strom
15 COMMENTS"
"EICHENBERG SHINES, COLLECTS PICK-6 THRU 2","Tommy Eichenberg's pick-six, Zach Harrison's strip-sack and Tanner McCalister's interception are the highlights of the first half for Ohio State against Iowa.","22 Oct 2022
by Chase Brown
13 COMMENTS"
"""WE'RE GONNA KICK YOUR ASS""",Jim Knowles has an emphatic message for Ohio State's opponents and Ryan Day and Mitch Rossi also speak at Buckeye Skull Session before kickoff against Iowa.,"22 Oct 2022
by Griffin Strom
34 COMMENTS"
IOWA PREGAME PICKS,11W staff score predictions and house prop bets await your click as Ohio State prepares to host Iowa at noon in Ohio Stadium.,"22 Oct 2022
by 11W Staff
12 COMMENTS"
"JSN, MIYAN, HANCOCK AVAILABLE AGAINST IOWA","Jaxon Smith-Njigba, Miyan Williams, TreVeyon Henderson and Jordan Hancock are all available against Iowa, while 14 other Buckeyes will sit out.","22 Oct 2022
by Griffin Strom
36 COMMENTS"
OCT. 22,"Tom Matte, Bob Ferguson and Hopalong Cassady all had big days against the Badgers on this date and Ohio State hasn’t lost in Columbus on Oct. 22 since the 19th century.","22 Oct 2022
by Matt Gutridge
3 COMMENTS"
IOWA,"We share some final thoughts, ask some final questions and identify the players we’ll be watching most closely in Ohio State’s second-half opener against Iowa.","22 Oct 2022
by 11W Staff
16 COMMENTS"
IOWA,Come tell everyone what Ohio State will do to Iowa on Saturday.,"21 Oct 2022
by Jared Naughton
72 COMMENTS"
OHIO STATE VS. IOWA PREVIEW,"Ohio State’s offense and Iowa’s defense will be a matchup of two of the nation’s best units, but the Buckeyes are favored to win big because of Iowa’s offensive struggles.","21 Oct 2022
by Dan Hope
56 COMMENTS"
A CHANCE TO FEAST FOR THE OSU D,A healthy Ohio State defense appears primed to feast on the worst offense it's faced all season Saturday against Spencer Petras and the struggling Hawkeyes.,"21 Oct 2022
by Griffin Strom
32 COMMENTS"
IOWA ROUNDTABLE,"Dan Hope, Matt Gutridge and Josh Poloha join the 11W Roundtable as Ohio State gets set to take on Iowa tomorrow at high noon in the Shoe.","21 Oct 2022
by Chris Lauderback
31 COMMENTS"
IOWA GAME TRAILER,"When Ohio State takes the field against Iowa on Saturday, the Buckeyes will look to earn their identity.","20 Oct 2022
by 11W Staff
25 COMMENTS"
IOWA Q&A WITH CHAD LEISTIKOW,"Chad Leistikow, an Iowa columnist for the Des Moines Register, says the Hawkeyes’ offensive issues are widespread but a turnover-creating defense keeps them in games.","20 Oct 2022
by Dan Hope
50 COMMENTS"
"MIYAN, TREVEYON EXPECTED TO PLAY VS. IOWA","Ryan Day expects Miyan Williams and TreVeyon Henderson to both play against Iowa and Jaxon Smith-Njigba could also return, but Kourt Williams is out with “a long-term injury.”","20 Oct 2022
by Dan Hope
51 COMMENTS"
“AS BIG A CHALLENGE AS WE'VE HAD”,Ryan Day hit the airwaves for The Ryan Day Radio Show and spoke with the media for the final time before Ohio State battles Iowa on Saturday.,"20 Oct 2022
by Chase Brown and Griffin Strom
17 COMMENTS"
THE BASICS OF IOWA'S STINGY DEFENSE,All of the focus on the Hawkeyes' putrid offense has overshadowed a defense that is once again a force to be reckoned with.,"20 Oct 2022
by Kyle Jones
50 COMMENTS"
“IT’S A WHOLE DIFFERENT BALLGAME WITH HIM”,"Even though Ohio State’s offense has already been great without him, Julian Fleming and Marvin Harrison Jr. expect Jaxon Smith-Njigba to take the Buckeyes to new heights.","20 Oct 2022
by Dan Hope
47 COMMENTS"
J.T. “DOESN’T GET THE CREDIT”,"Despite J.T. Tuimoloau's lack of sacks this season, Jim Knowles says he's had a bigger impact than he gets credit for on defense and has been hampered by missed holding calls.","20 Oct 2022
by Griffin Strom
26 COMMENTS"
FLEMING LIVING UP TO HYPE,Ohio State wide receiver Julian Fleming is excelling in his role in a loaded Buckeye wide receiver room now that he is fully healthy.,"20 Oct 2022
by Josh Poloha
18 COMMENTS"
"BUCKEYES DISCUSS RETURN OF JSN, IOWA",Marvin Harrison Jr. thinks Ohio State will be even tougher to stop offensively when Jaxon Smith-Njigba returns and a total of nine Buckeyes preview the Iowa game.,"19 Oct 2022
by Garrick Hodge
19 COMMENTS"
A LACHEY FAMILY REUNION,Luke Lachey returns to his hometown and Jim Lachey will call his son’s game on Ohio State’s radio broadcast when the Buckeyes host Iowa on Saturday.,"19 Oct 2022
by Dan Hope
38 COMMENTS"
IOWA,"Ryan Day discussed an Iowa defense that while highly-rated, hasn't faced a balanced offensive attack near Ohio State's level so far this season.","19 Oct 2022
by Chris Lauderback
14 COMMENTS"
IOWA GAME POSTER,The Buckeye Battle Cry has never looked better than it does in this week's game poster.,"19 Oct 2022
by 11W Staff
24 COMMENTS"
AUDACIOUS NEPOTISM FOOTBALL,"Kirk Ferentz and Iowa AD Gary Barta openly evaded Iowa's nepotism policies designed to prevent exactly what has happened to the Iowa offense, which is run by Ferentz's son.","19 Oct 2022
by Ramzy Nasrallah
113 COMMENTS"
A MEASURING STICK FOR OHIO STATE’S OFFENSE,"Iowa’s defense, which has allowed only 9.8 points per game so far this season, will provide a test of whether Ohio State’s offense is as good as it’s looked so far.","19 Oct 2022
by Dan Hope
51 COMMENTS"
DAY STILL SCARRED BY 2017 IOWA LOSS,"Ryan Day says Ohio State's 55-24 loss to Iowa in the programs' most recent meeting is “a scar that doesn't go away,” and the Buckeyes will use it as fuel on Saturday.","19 Oct 2022
by Griffin Strom
50 COMMENTS"
HOOKER OVER STROUD FOR MID-YEAR AP TEAM,"Marvin Harrison Jr. and Paris Johnson Jr. were named to the Associated Press midseason All-American team, but Tennessee quarterback Hendon Hooker earns nod over C.J. Stroud.","18 Oct 2022
by Chase Brown
92 COMMENTS"
"DAY, KNOWLES, WILSON TALK IOWA","Ryan Day, Jim Knowles and Kevin Wilson preview a ""very effective"" Iowa defense, reflect on the 2017 loss to the Hawkeyes and look ahead to the final six games of the regular...","18 Oct 2022
by Griffin Strom
70 COMMENTS"
"BROWNING, CAMPBELL AMONG WEEK 6 NFL STARS",Another big game for Baron Browning and Parris Campbell’s career-high seven catches were among the top performances by former Buckeyes in Week 6 of the NFL season.,"18 Oct 2022
by Dan Hope
21 COMMENTS"
PARIS’ FOUNDATION UP FOR NATIONAL AWARD,"The Paris Johnson Jr. Foundation, which has raised more than $10,000 for veterans and others in need, is among seven finalists for the FWAA’s Armed Forces Merit Award.","17 Oct 2022
by Dan Hope
18 COMMENTS"
“NONE OF OUR GOALS HAVE BEEN MET”,"Ryan Day discusses Ohio State's bye week, early prep for Iowa and says he's sensed “high energy“ from the Buckeyes as they ready for the second half of the season on 97.1 The...","17 Oct 2022
by Griffin Strom
27 COMMENTS"
FIVE THINGS TO KNOW ABOUT IOWA,"Five things to know about Iowa, which has the worst offense in the FBS and is having its worst start to a season since 2008, but pulled off an upset in its last matchup with OSU.","17 Oct 2022
by Griffin Strom
115 COMMENTS"
BUCKEYE OFFENSE ON RECORD-SETTING PACE,"C.J. Stroud, Marvin Harrison Jr. and Ohio State’s offense as a whole are all on pace to break school records this year and several other milestones are also in reach.","17 Oct 2022
by Dan Hope and Matt Gutridge
32 COMMENTS"
BUCKEYES FAVORED BY 27 VS. IOWA,Ohio State opens as a 27-point favorite for next week’s game against Iowa. The initial over/under for the game has been set at 51.5 points.,"16 Oct 2022
by Dan Hope
101 COMMENTS"
BUCKEYES RANKED 2ND IN BOTH MAJOR POLLS,"Ohio State is ranked second in both the AP Top 25 and the Coaches Poll, behind only Georgia, following the Buckeyes’ bye week.","16 Oct 2022
by Dan Hope
176 COMMENTS"
OPEN WEEK,Five Things takes stock of Ohio State's 6-0 start as the Buckeyes get set to resume play next weekend against Iowa.,"16 Oct 2022
by Chris Lauderback
70 COMMENTS"
OHIO STATE/PENN STATE SET FOR NOON KICK,Ohio State’s Oct. 29 game at Penn State will kick off at noon and will be televised on FOX.,"15 Oct 2022
by Dan Hope
92 COMMENTS"
11W ROUNDTABLE: OPEN WEEK,"Ryan Day's squad might be taking the weekend off but the 11W Roundtable is a different breed. This week, Chase Brown, Ramzy Nasrallah and Garrick Hodge work OT to bring you the...","14 Oct 2022
by Chris Lauderback
37 COMMENTS"
10 BIGGEST SURPRISES SO FAR,"Cade Stover's pass-catching ability, Denzel's Burke's inconsistency and Mike Hall's emergence are among the biggest surprises through the first six games.","14 Oct 2022
by Griffin Strom
48 COMMENTS"
"DAY, HOLTMANN HIT AIRWAVES TO TALK BUCKS","As Ohio State approaches a weekend without a football game, Ryan Day took to the airwaves to assess the first half of the season for the Buckeyes and where his team can go from...","13 Oct 2022
by Chase Brown
9 COMMENTS"
DOING MORE WITH LESS,"With some key skill players out due to injury, the Ohio State offense got creative with its game plan against MSU.","13 Oct 2022
by Kyle Jones
42 COMMENTS"
MIDSEASON EVALUATIONS FOR EVERY UNIT,We take a look at what’s gone well and what questions are still lingering for every Ohio State unit at the midpoint of the regular season.,"13 Oct 2022
by Dan Hope
51 COMMENTS"
BUCKEYES LOOK LIKE TEAM TO BEAT,We talk about just how impressive Ohio State’s first half of the season has been and why the Buckeyes might be the frontrunner to win this year’s national championship.,"12 Oct 2022
by Dan Hope and Griffin Strom
12 COMMENTS"
HALFTIME,Ohio State is officially bowl-eligible. Everyone can exhale now.,"12 Oct 2022
by Ramzy Nasrallah
67 COMMENTS"
"HARRISON, EICHENBERG ADDED TO WATCH LISTS",Marvin Harrison Jr. has been added to the watch list for the Maxwell Award while Tommy Eichenberg is a midseason addition to the Bednarik Award watch list.,"12 Oct 2022
by Dan Hope
23 COMMENTS"
STROUD IS CLEAR FAVORITE,Ohio State quarterback C.J. Stroud is the clear-cut favorite to win the Heisman Trophy at the midway point of the regular season.,"12 Oct 2022
by Josh Poloha
46 COMMENTS"
CORNERBACK PLAY A LINGERING CONCERN,Ryan Day and Jim Knowles both said Ohio State’s cornerbacks need to do a better job of finishing plays and that will “be a huge emphasis” during the Buckeyes’ off week.,"12 Oct 2022
by Dan Hope
111 COMMENTS"
GETTING HEALTHY A BYE WEEK PRIORITY,Ryan Day thinks the bye week comes at a good time for Ohio State and he’s optimistic most of the Buckeyes’ injured players will be available to play against Iowa.,"11 Oct 2022
by Dan Hope
41 COMMENTS"
STROUD EARNS MAXWELL AWARD POTW HONORS,C.J. Stroud is the Maxwell Award player of the week following his record-breaking performance in Ohio State's 49-20 win over Michigan State on Oct. 8.,"11 Oct 2022
by Chase Brown
25 COMMENTS"
COACHES RECAP FIRST HALF OF SEASON,"Ryan Day, Jim Knowles, Justin Frye and Larry Johnson meet with the media during the bye week to share their thoughts on how the first half of Ohio State’s season went.","11 Oct 2022
by Dan Hope
69 COMMENTS"
BROWNING DOMINATES,Top Week 5 performers among NFL Buckeyes included Baron Browning recording 10 quarterback pressures and Malik Hooker and Vonn Bell intercepting passes.,"11 Oct 2022
by Dan Hope
30 COMMENTS"
OSU CREATING TURNOVERS AT EVERY LEVEL,"Ohio State now has a four-game takeaway streak, including six total turnovers in that stretch, and players at every level of the Buckeye defense are getting involved.","11 Oct 2022
by Griffin Strom
53 COMMENTS"
MICHIGAN STATE,"All but 11 Buckeyes who made the trip saw playing time in Ohio State’s 49-20 win over Michigan State, and 10 Buckeyes have now played more than 300 snaps this season.","10 Oct 2022
by Dan Hope
29 COMMENTS"
NOON KICKOFF FOR OSU-IOWA,"When Ohio State returns from its bye week, the Buckeyes will kick off at noon against the Hawkeyes at Ohio Stadium on Oct. 22.","10 Oct 2022
by Griffin Strom
119 COMMENTS"
STROUD NAMED B1G OFFENSIVE POTW,C.J. Stroud earned Big Ten offensive player of the week honors for completing 21 of 26 passes for 361 yards and six touchdowns in Ohio State's win over Michigan State.,"10 Oct 2022
by Chase Brown
40 COMMENTS"
"STROUD, MARV, EWERS, BAMA","C.J. Stroud, Marvin Harrison Jr. and Mike Hall all boost their stock, Quinn Ewers' comeback was a memorable one and Alabama survives another close call.","10 Oct 2022
by Griffin Strom
108 COMMENTS"
MICHIGAN STATE PLAYERS OF THE GAME,Marvin Harrison Jr. caught seven passes for 131 yards and three touchdowns and Mike Hall Jr. collected 2.5 sacks in Ohio State's win over Michigan State.,"09 Oct 2022
by 11W Staff
34 COMMENTS"
MICHIGAN STATE,"Dallan Hayden ran for 70 yards and Caden Curry, Jyaire Brown, Kye Stokes, Sonny Styles and Ryan Turner all saw playing time on defense as Ohio State blew out Michigan State.","09 Oct 2022
by Matt Gutridge
18 COMMENTS"
OHIO STATE RISES TO NO. 2 IN AP TOP 25,"After a 29-point win on the road against Michigan State, the Buckeyes moved up to No. 2 in the AP Top 25 but saw no change in the Coaches Poll heading into OSU's bye week.","09 Oct 2022
by George Eisner
204 COMMENTS"
MICHIGAN STATE,"Five Things is getting the sneaking suspicion Mel Tucker is overpaid as Ohio State throttles Michigan State again, this time in East Lansing.","09 Oct 2022
by Chris Lauderback
54 COMMENTS"
MICHIGAN STATE,"Ohio State blew the doors off of Michigan State in East Lansing Saturday, coasting to a 49-20 win. Here are the three key stats from that game.","09 Oct 2022
by 11W Staff
41 COMMENTS"
MICHIGAN STATE,C.J. Stroud became the first quarterback in Big Ten history to throw for six touchdowns in three games in his career.,"09 Oct 2022
by Andy Vance
27 COMMENTS"
BROWN “A LITTLE FRUSTRATED”,"Ryan Day says the Buckeye CBs are ""pressing a little bit,"" C.J. Stroud ""dedicated the season"" to Dwayne Haskins and ""the sky's the limit"" for the OSU defense.","09 Oct 2022
by Griffin Strom
50 COMMENTS"
BUCKS ROLL OVER SPARTY,It isn't mean to score so many points when Ohio State looks this cool doing it.,"09 Oct 2022
by Johnny Ginter
6 COMMENTS"
HALL MAKES BIG IMPACT IN SMALL ROLE,"Mike Hall Jr. recorded 2.5 sacks despite limited playing time, Gee Scott Jr. scored his first touchdown and Julian Fleming scored again in Ohio State’s win over Michigan State.","09 Oct 2022
by Dan Hope
12 COMMENTS"
PHOTOS FROM OSU'S 49-20 WIN OVER MSU,Ohio State took down Michigan State 49-20 on Saturday and we've got more than 180 photos of the action.,"09 Oct 2022
by Garrick Hodge
1 COMMENT"
PASS GAME GOES OFF AT MSU,C.J. Stroud threw a pick-six early in East Lansing but finished with 361 yards and more touchdowns than incompletions in a record-setting performance Saturday.,"08 Oct 2022
by Griffin Strom
13 COMMENTS"
"HENDERSON RUNS HARD, FINE AFTER EARLY EXIT",TreVeyon Henderson ran for 118 yards and a touchdown on 19 carries before leaving Ohio State’s win over Michigan State early in the second half “out of an abundance of...,"08 Oct 2022
by Dan Hope
27 COMMENTS"
"BUCKEYES BLOW OUT SPARTANS, 49-20",C.J. Stroud threw six touchdown passes and Marvin Harrison Jr. caught three of them to lead Ohio State to a 49-20 win over Michigan State in East Lansing.,"08 Oct 2022
by Dan Hope
139 COMMENTS"
“NOT VERY HAPPY RIGHT NOW”,MSU head coach Mel Tucker was quite critical of his team's execution and results after Ohio State defeated Sparty 49-20 in the Buckeyes’ first road game of the season.,"08 Oct 2022
by George Eisner
50 COMMENTS"
"DAY TALKS MSU WIN, RB HEALTH, CB PLAY","Ryan Day, C.J. Stroud, Marvin Harrison Jr., Ronnie Hickman and Tommy Eichenberg all took the podium to discuss Saturday's Buckeye win in East Lansing.","08 Oct 2022
by Griffin Strom
45 COMMENTS"
HARRISON BREAKS OSU 3 REC TD RECORD,Marvin Harrison Jr. broke the Ohio State record for three receiving touchdown games in a dominant performance against Michigan State on Saturday.,"08 Oct 2022
by Chase Brown
41 COMMENTS"
STROUD SETS OR NEARS SEVERAL RECORDS,"C.J. Stroud sets the OSU record for 6-touchdown passing games, moves into second place in career TD throws and sets the B1G record for 5-TD games on Saturday.","08 Oct 2022
by Griffin Strom
41 COMMENTS"
HENDERSON'S EXIT OUT OF CAUTION,"Ryan Day said TreVeyon Henderson would've continued playing against the Spartans if Ohio State needed him but choose to keep him from the contest out of an ""abundance of caution.""","08 Oct 2022
by Griffin Strom
42 COMMENTS"
BUCKS DROP 35 ON MSU,C.J. Stroud tossed four touchdowns and Marvin Harrison Jr. collected two scores as Ohio State is out to an early lead over Michigan State.,"08 Oct 2022
by Chase Brown
5 COMMENTS"
TRAVEL ROSTER FOR ROAD OPENER,Ohio State’s 74-man travel roster for its first road game of the season includes 18 true freshmen.,"08 Oct 2022
by Dan Hope
8 COMMENTS"
SPARTY PREGAME PICKS,Come get your 11W staff score predictions and house prop bets ahead of Ohio State's first road game of the season against MSU.,"08 Oct 2022
by 11W Staff
16 COMMENTS"
"MIYAN, JSN OUT AGAINST MSU","Miyan Williams and Jaxon Smith-Njigba are among the 11 Buckeyes listed as unavailable against Michigan State, but several starters should be back in action.","08 Oct 2022
by Griffin Strom
257 COMMENTS"
OCT. 8,"Keith Byars eclipsed 100 rushing and 100 receiving yards against Purdue, Joel Payton scored four times against the Boilermakers and the Bauserbomb became a thing on this date.","08 Oct 2022
by Matt Gutridge
15 COMMENTS"
MICHIGAN STATE,"We share our final thoughts, questions and players to watch before Ohio State faces Michigan State in its first road test of the regular season.","08 Oct 2022
by 11W Staff
8 COMMENTS"
MICHIGAN STATE,This is the place to tell everyone was will happen Saturday afternoon against Sparty.,"07 Oct 2022
by Jared Naughton
56 COMMENTS"
OHIO STATE VS. MICHIGAN STATE PREVIEW,Ohio State heads to East Lansing for its first road test of the season against a Michigan State team that is just 2-3 after losing three games in a row.,"07 Oct 2022
by Dan Hope
52 COMMENTS"
TOP NOTCH TACKLE PLAY THUS FAR,"OSU has given up fewer sacks than all but six teams in the FBS as Ryan Day says ""there's been some good play"" out of Paris Johnson Jr. and Dawand Jones.","07 Oct 2022
by Griffin Strom
24 COMMENTS"
