game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401413231,Cal Poly,Big Sky,away,17,29-50,,20,0-1,0,1,0,0,3,0,121,6,5,375,,1,2,32:49,,,,,34,0,69,,,,7-18,1,4-31,444,3,7.5,2.0
401413231,UC Davis,Big Sky,home,59,22-29,,28,1-2,1,0,1,65,1,0,91,4,11,425,,3,4,27:11,0,13,6,,40,3,257,,,,3-9,3,6-40,682,2,14.7,6.4
401413232,Cal Poly,Big Sky,away,0,18-40,,12,0-2,0,0,0,0,1,0,133,8,,150,,1,0,24:31,,,,,27,0,42,,,,4-16,,2-30,192,1,3.8,1.6
401413232,Montana,Big Sky,home,57,19-31,,37,1-3,0,0,0,5,1,,,,9,283,,1,3,35:29,0,47,4,,62,5,412,,,,14-19,,2-20,695,1,9.1,6.6
401413233,Cal Poly,Big Sky,home,28,26-36,,21,1-2,1,2,,,1,0,69,3,4,317,,,3,26:22,,,,,29,1,91,,,,4-12,1,4-60,408,2,8.8,3.1
401413233,Montana State,Big Sky,away,72,12-23,,30,0-1,1,2,0,27,0,0,6,2,18,190,,1,2,33:38,0,15,1,,54,6,554,,,,11-14,2,3-35,744,1,8.3,10.3
401413234,Cal Poly,Big Sky,home,49,25-39,,24,0-0,0,0,1,76,0,0,29,2,7,415,,3,4,23:47,,,,,26,2,67,,,,5-12,2,2-20,482,0,10.6,2.6
401413234,Portland State,Big Sky,away,42,14-33,,25,2-3,0,0,,,3,0,61,4,6,192,,,1,36:13,0,2,1,,52,5,382,,,,10-17,1,7-67,574,3,5.8,7.3
401413236,Eastern Washington,Big Sky,home,36,29-46,,25,1-1,1,2,0,0,0,0,74,3,4,348,,1,5,26:34,0,11,2,,32,0,126,,,,7-16,1,7-55,474,1,7.6,3.9
401413236,Tennessee State,OVC,away,29,17-27,,23,3-3,2,1,,,1,0,79,4,5,257,,,2,33:26,0,19,3,,54,2,290,,,,5-16,6,12-95,547,3,9.5,5.4
401413237,Eastern Washington,Big Sky,home,35,16-26,,15,2-3,1,0,0,0,1,0,19,1,5,201,,1,3,21:24,,,,,29,2,148,,,,3-12,1,5-60,349,2,7.7,5.1
401413237,Montana State,Big Sky,away,38,10-20,,28,1-2,0,1,0,0,1,0,83,3,8,111,,1,1,38:36,0,7,1,,60,4,355,,,,6-16,1,7-66,466,1,5.6,5.9
401413238,Eastern Washington,Big Sky,away,21,21-31,,20,1-3,1,2,,,1,0,3,2,3,198,,,1,34:14,0,-2,1,,44,1,123,,,,9-17,2,7-46,321,2,6.4,2.8
401413238,Weber State,Big Sky,home,45,16-22,,26,1-3,2,1,0,26,0,0,121,2,9,237,,1,1,25:46,0,20,1,,44,4,223,,,,4-11,4,7-64,460,2,10.8,5.1
