collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,location,nickname,displayName,logo,img,link,playerId,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4570409,105594,2509,Purdue,Big Ten,Cleveland,2022,99,3,35,David Bell,Wide Receiver,73.0,212.0,94.0,15.0,73.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4570409.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,93.0,6.0,1286.0,13.8,3.0,26.0,0.0,39.0,13.0
4686470,105580,201,Oklahoma,Big 12,Cleveland,2022,108,4,3,Perrion Winfrey,Defensive Tackle,76.0,290.0,54.0,4.0,84.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4686470.0,0.0,2.0,5.5,11.0,0.0,11.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428963,106094,99,LSU,SEC,Cleveland,2022,124,4,19,Cade York,Place Kicker,73.0,206.0,140.0,1.0,64.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4428963.0,,,,,,,,,,,,,,,,,,,,18.0,15.0,56.0,0.833,84.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4372019,105896,2132,Cincinnati,American Athletic,Cleveland,2022,156,5,13,Jerome Ford,Running Back,71.0,210.0,134.0,9.0,65.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4372019.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,21.0,1.0,220.0,10.5,215.0,79.0,19.0,1319.0,6.1
4360174,106250,201,Oklahoma,Big 12,Cleveland,2022,202,6,24,Michael Woods II,Wide Receiver,73.0,198.0,,,,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241404,106033,201,Oklahoma,Big 12,Cleveland,2022,223,7,2,Isaiah Thomas,Defensive End,77.0,266.0,191.0,17.0,56.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4241404.0,4.0,3.0,8.0,18.0,0.0,11.5,38.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241848,105650,2641,Texas Tech,Big 12,Cleveland,2022,246,7,25,Dawson Deaton,Center,78.0,306.0,248.0,6.0,46.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4241848.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243375,105770,235,Memphis,American Athletic,Las Vegas,2022,90,3,26,Dylan Parham,Offensive Guard,75.0,311.0,95.0,5.0,72.0,Las Vegas,Raiders,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,las_vegas_raiders,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/las_vegas_raiders.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4361777,105666,61,Georgia,SEC,Las Vegas,2022,122,4,17,Zamir White,Running Back,72.0,214.0,97.0,7.0,71.0,Las Vegas,Raiders,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,las_vegas_raiders,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/las_vegas_raiders.png,4361777.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,18.5,20.0,2.0,0.0,37.0,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,,,,,,,15.0,9.0,0.0,75.0,8.3,160.0,42.0,11.0,856.0,5.4
4242234,106027,99,LSU,SEC,Las Vegas,2022,126,4,21,Neil Farrell Jr.,Defensive Tackle,76.0,330.0,118.0,7.0,69.0,Las Vegas,Raiders,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,las_vegas_raiders,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/las_vegas_raiders.png,4242234.0,2.0,1.0,2.0,20.0,0.0,9.5,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242457,106098,2633,Tennessee,SEC,Las Vegas,2022,175,5,32,Matthew Butler,Defensive Tackle,76.0,297.0,144.0,9.0,63.0,Las Vegas,Raiders,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,las_vegas_raiders,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/las_vegas_raiders.png,4242457.0,0.0,7.0,5.0,19.0,0.0,8.5,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242001,105602,194,Ohio State,Big Ten,Las Vegas,2022,238,7,17,Thayer Munford,Offensive Tackle,78.0,328.0,152.0,16.0,61.0,Las Vegas,Raiders,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,las_vegas_raiders,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/las_vegas_raiders.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4036032,106266,26,UCLA,Pac-12,Las Vegas,2022,250,7,29,Brittain Brown,Running Back,73.0,205.0,,,,Las Vegas,Raiders,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,las_vegas_raiders,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/las_vegas_raiders.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4379414,105662,61,Georgia,SEC,Miami,2022,102,3,38,Channing Tindall,Inside Linebacker,74.0,230.0,79.0,7.0,77.0,Miami,Dolphins,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,miami_dolphins,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/miami_dolphins.png,4379414.0,0.0,2.0,5.5,35.0,0.0,7.5,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4362186,106074,2641,Texas Tech,Big 12,Miami,2022,125,4,20,Erik Ezukanma,Wide Receiver,74.0,209.0,165.0,23.0,59.0,Miami,Dolphins,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,miami_dolphins,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/miami_dolphins.png,4362186.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,48.0,4.0,705.0,14.7,10.0,45.0,2.0,138.0,13.8
4035857,106254,25,California,Pac-12,Miami,2022,224,7,3,Cameron Goode,Outside Linebacker,76.0,240.0,,,,Miami,Dolphins,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,miami_dolphins,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/miami_dolphins.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4036419,105946,2306,Kansas State,Big 12,Miami,2022,247,7,26,Skylar Thompson,Quarterback,74.0,217.0,235.0,8.0,48.0,Miami,Dolphins,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,miami_dolphins,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/miami_dolphins.png,4036419.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,233.0,162.0,4.0,0.695,12.0,2113.0,9.1,,,,,,,,,,,,,,,,,47.0,26.0,4.0,4.0,0.1
